Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2018-03-22,1332.0,2018-03-22,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13
2018-03-23,1329.0,2018-03-23,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13
2018-03-26,1347.0,2018-03-26,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15
2018-03-27,1353.6,2018-03-27,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16
2018-03-28,1345.0,2018-03-28,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19
2018-03-29,1329.3,2018-03-29,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18
2018-04-02,1330.7,2018-04-02,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16
2018-04-03,1345.0,2018-04-03,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12
2018-04-04,1336.7,2018-04-04,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12
2018-04-05,1337.1,2018-04-05,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11
2018-04-06,1329.7,2018-04-06,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1
2018-04-09,1338.0,2018-04-09,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1
2018-04-10,1339.8,2018-04-10,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12
2018-04-11,1343.1,2018-04-11,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13
2018-04-12,1356.3,2018-04-12,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13,0.14
2018-04-13,1337.6,2018-04-13,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14,0.13
2018-04-16,1349.8,2018-04-16,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14,0.14
2018-04-17,1349.1,2018-04-17,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14,0.14
2018-04-18,1350.4,2018-04-18,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13,0.14
2018-04-19,1352.4,2018-04-19,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13,0.13
2018-04-20,1348.5,2018-04-20,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11,0.13
2018-04-23,1336.2,2018-04-23,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08,0.11
2018-04-24,1326.1,2018-04-24,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07,0.08
2018-04-25,1332.0,2018-04-25,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08,0.07
2018-04-26,1324.2,2018-04-26,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08,0.08
2018-04-27,1318.0,2018-04-27,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05,0.08
2018-04-30,1324.0,2018-04-30,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06,0.05
2018-05-01,1316.0,2018-05-01,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05,0.06
2018-05-02,1304.4,2018-05-02,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02,0.05
2018-05-03,1305.5,2018-05-03,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0,0.02
2018-05-04,1312.8,2018-05-04,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01,0.0
2018-05-07,1316.3,2018-05-07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03,-0.01
2018-05-08,1314.1,2018-05-08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02,-0.03
2018-05-09,1315.3,2018-05-09,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02,-0.02
2018-05-10,1312.8,2018-05-10,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01,-0.02
2018-05-11,1321.8,2018-05-11,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,-0.01
2018-05-14,1318.3,2018-05-14,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01
2018-05-15,1313.2,2018-05-15,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02
2018-05-16,1290.1,2018-05-16,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01,0.0
2018-05-17,1290.2,2018-05-17,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0,0.01
2018-05-18,1290.0,2018-05-18,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01,0.0
2018-05-21,1290.3,2018-05-21,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02,0.01
2018-05-22,1292.3,2018-05-22,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02,0.02
2018-05-23,1290.6,2018-05-23,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01,0.02
2018-05-24,1293.3,2018-05-24,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.01
2018-05-25,1304.0,2018-05-25,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03
2018-05-28,1297.2,2018-05-28,0.03,0.01,0.01,0.02,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05
